School,Player_Type,Position_Type,Position,Drafted,Team
Ohio St.,offense,backs_receivers,RB,Yes,Arizona Cardinals
Illinois,defense,defensive_lineman,DE,Yes,Arizona Cardinals
LSU,offense,offensive_lineman,OG,Yes,Arizona Cardinals
Alabama,defense,defensive_back,FS,Yes,Arizona Cardinals
Connecticut,defense,line_backer,OLB,Yes,Arizona Cardinals
Cincinnati,offense,offensive_lineman,OG,Yes,Arizona Cardinals
Mississippi,defense,defensive_lineman,DT,Yes,Atlanta Falcons
North Carolina,offense,offensive_lineman,OT,Yes,Atlanta Falcons
Richmond,defense,defensive_lineman,DE,Yes,Atlanta Falcons
San Jose St.,defense,defensive_back,CB,Yes,Atlanta Falcons
Missouri,defense,defensive_back,SS,Yes,Atlanta Falcons
Georgia Tech,defense,defensive_lineman,DT,Yes,Atlanta Falcons
Mississippi,offense,offensive_lineman,OT,Yes,Baltimore Ravens
East Carolina,offense,backs_receivers,TE,Yes,Baltimore Ravens
TCU,defense,line_backer,ILB,Yes,Baltimore Ravens
Nicholls St.,defense,defensive_back,CB,Yes,Baltimore Ravens
Utah,defense,defensive_lineman,DE,Yes,Baltimore Ravens
Virginia,offense,backs_receivers,RB,Yes,Baltimore Ravens
Penn St.,defense,defensive_lineman,DE,Yes,Buffalo Bills
Southern Miss,offense,backs_receivers,TE,Yes,Buffalo Bills
Oregon St.,offense,offensive_lineman,OG,Yes,Buffalo Bills
Oregon,defense,defensive_back,CB,Yes,Buffalo Bills
USC,defense,defensive_back,CB,Yes,Buffalo Bills
Louisville,offense,offensive_lineman,C,Yes,Buffalo Bills
Oklahoma,defense,line_backer,OLB,Yes,Buffalo Bills
Florida St.,defense,defensive_lineman,DE,Yes,Carolina Panthers
Syracuse,offense,backs_receivers,FB,Yes,Carolina Panthers
Texas A&M,offense,backs_receivers,RB,Yes,Carolina Panthers
Georgia,defense,defensive_lineman,DT,Yes,Carolina Panthers
South Carolina,defense,defensive_back,CB,Yes,Carolina Panthers
Troy,defense,defensive_back,CB,Yes,Carolina Panthers
Oklahoma,offense,offensive_lineman,OG,Yes,Carolina Panthers
San Jose St.,defense,defensive_lineman,DE,Yes,Chicago Bears
Ohio St.,defense,line_backer,OLB,Yes,Chicago Bears
Abilene Christian,offense,backs_receivers,WR,Yes,Chicago Bears
Vanderbilt,defense,defensive_back,CB,Yes,Chicago Bears
Oklahoma,offense,backs_receivers,WR,Yes,Chicago Bears
Alabama,offense,offensive_lineman,OT,Yes,Cincinnati Bengals
Arkansas,offense,offensive_lineman,C,Yes,Cincinnati Bengals
Missouri,offense,backs_receivers,TE,Yes,Cincinnati Bengals
Abilene Christian,offense,backs_receivers,RB,Yes,Cincinnati Bengals
Georgia Tech,defense,defensive_lineman,DE,Yes,Cincinnati Bengals
Michigan,defense,defensive_back,CB,Yes,Cincinnati Bengals
USC,defense,line_backer,ILB,Yes,Cincinnati Bengals
Cincinnati,special_teams,kicking_specialist,P,Yes,Cincinnati Bengals
California,offense,offensive_lineman,C,Yes,Cleveland Browns
USC,defense,line_backer,OLB,Yes,Cleveland Browns
Hawaii,defense,defensive_lineman,DE,Yes,Cleveland Browns
Clemson,offense,backs_receivers,RB,Yes,Cleveland Browns
Georgia,offense,backs_receivers,WR,Yes,Cleveland Browns
San Jose St.,defense,defensive_back,CB,Yes,Cleveland Browns
Ohio St.,offense,backs_receivers,WR,Yes,Cleveland Browns
Norfolk St.,defense,defensive_back,CB,Yes,Cleveland Browns
Ball St.,offense,offensive_lineman,OT,Yes,Dallas Cowboys
Cincinnati,defense,defensive_back,CB,Yes,Dallas Cowboys
Virginia,offense,backs_receivers,TE,Yes,Dallas Cowboys
Texas Tech,defense,defensive_lineman,DE,Yes,Dallas Cowboys
TCU,defense,line_backer,OLB,Yes,Dallas Cowboys
Oregon St.,defense,line_backer,OLB,Yes,Dallas Cowboys
USC,special_teams,kicking_specialist,K,Yes,Dallas Cowboys
Oklahoma,offense,backs_receivers,WR,Yes,Dallas Cowboys
Texas A&M,offense,backs_receivers,QB,Yes,Dallas Cowboys
Clemson,defense,defensive_back,SS,Yes,Dallas Cowboys
Cincinnati,defense,defensive_back,CB,Yes,Dallas Cowboys
Georgia,offense,backs_receivers,RB,Yes,Denver Broncos
North Carolina,offense,backs_receivers,TE,Yes,Denver Broncos
Fresno St.,offense,backs_receivers,QB,Yes,Denver Broncos
Texas Tech,defense,defensive_back,FS,Yes,Denver Broncos
South Carolina,offense,backs_receivers,WR,Yes,Denver Broncos
Wake Forest,defense,defensive_back,CB,Yes,Denver Broncos
Iowa,offense,offensive_lineman,OG,Yes,Denver Broncos
Tennessee,defense,defensive_lineman,DE,Yes,Denver Broncos
Notre Dame,defense,defensive_back,FS,Yes,Denver Broncos
Georgia,offense,backs_receivers,QB,Yes,Detroit Lions
Penn St.,offense,backs_receivers,WR,Yes,Detroit Lions
Wisconsin,defense,line_backer,OLB,Yes,Detroit Lions
Maryland,offense,backs_receivers,TE,Yes,Detroit Lions
West. Michigan,defense,defensive_back,FS,Yes,Detroit Lions
California,defense,line_backer,OLB,Yes,Detroit Lions
Oklahoma St.,offense,backs_receivers,TE,Yes,Detroit Lions
Nebraska,offense,offensive_lineman,OT,Yes,Detroit Lions
Georgia,defense,defensive_lineman,DE,Yes,Green Bay Packers
Cincinnati,defense,defensive_back,FS,Yes,Green Bay Packers
Boston Col.,defense,defensive_lineman,DT,Yes,Green Bay Packers
South Carolina,offense,offensive_lineman,OT,Yes,Green Bay Packers
USC,defense,line_backer,OLB,Yes,Green Bay Packers
LSU,offense,backs_receivers,FB,Yes,Green Bay Packers
USC,defense,line_backer,OLB,Yes,Houston Texans
North Carolina St.,offense,backs_receivers,TE,Yes,Houston Texans
New Mexico,defense,defensive_back,FS,Yes,Houston Texans
Alabama,offense,offensive_lineman,C,Yes,Houston Texans
Arizona St.,defense,defensive_back,FS,Yes,Houston Texans
Cincinnati,defense,line_backer,OLB,Yes,Houston Texans
Rice,offense,backs_receivers,FB,Yes,Houston Texans
Connecticut,offense,backs_receivers,RB,Yes,Indianapolis Colts
Michigan,defense,defensive_lineman,DT,Yes,Indianapolis Colts
BYU,offense,backs_receivers,WR,Yes,Indianapolis Colts
Auburn,defense,defensive_back,CB,Yes,Indianapolis Colts
Maryland,offense,offensive_lineman,OG,Yes,Indianapolis Colts
USC,defense,defensive_lineman,DT,Yes,Indianapolis Colts
Purdue,offense,backs_receivers,QB,Yes,Indianapolis Colts
Virginia,offense,offensive_lineman,OT,Yes,Jacksonville Jaguars
Rice,offense,backs_receivers,WR,Yes,Jacksonville Jaguars
Arizona,offense,backs_receivers,WR,Yes,Jacksonville Jaguars
Temple,defense,defensive_lineman,DT,Yes,Jacksonville Jaguars
Rutgers,offense,backs_receivers,WR,Yes,Jacksonville Jaguars
Arizona,offense,offensive_lineman,OT,Yes,Jacksonville Jaguars
Liberty,offense,backs_receivers,RB,Yes,Jacksonville Jaguars
LSU,defense,defensive_lineman,DE,Yes,Kansas City Chiefs
Tennessee St.,offense,backs_receivers,RB,Yes,Kansas City Chiefs
McNeese St.,offense,backs_receivers,WR,Yes,Kansas City Chiefs
Ohio St.,defense,defensive_back,CB,Yes,Kansas City Chiefs
Purdue,defense,defensive_lineman,DT,Yes,Kansas City Chiefs
Northern Illinois,defense,line_backer,OLB,Yes,San Diego Chargers
Oregon St.,defense,defensive_back,CB,Yes,San Diego Chargers
Colorado St.,offense,backs_receivers,RB,Yes,San Diego Chargers
Auburn,offense,offensive_lineman,OG,Yes,San Diego Chargers
LSU,offense,backs_receivers,WR,Yes,San Diego Chargers
Texas Tech,offense,offensive_lineman,OG,Yes,San Diego Chargers
USC,defense,line_backer,OLB,Yes,San Diego Chargers
Baylor,offense,offensive_lineman,OT,Yes,St. Louis Rams
Clemson,defense,defensive_lineman,DT,Yes,St. Louis Rams
Texas,offense,backs_receivers,RB,Yes,St. Louis Rams
Ohio St.,defense,line_backer,ILB,Yes,St. Louis Rams
North Carolina,offense,backs_receivers,WR,Yes,St. Louis Rams
Iowa,defense,defensive_back,CB,Yes,St. Louis Rams
Illinois,defense,defensive_back,CB,Yes,Miami Dolphins
Ohio St.,offense,backs_receivers,WR,Yes,Miami Dolphins
USC,offense,backs_receivers,WR,Yes,Miami Dolphins
Utah,defense,defensive_back,CB,Yes,Miami Dolphins
Georgia Tech,offense,offensive_lineman,OT,Yes,Miami Dolphins
West Virginia,offense,backs_receivers,QB,Yes,Miami Dolphins
Clemson,defense,defensive_back,FS,Yes,Miami Dolphins
Florida,offense,backs_receivers,WR,Yes,Minnesota Vikings
Mississippi,defense,defensive_back,SS,Yes,Minnesota Vikings
South Carolina,defense,line_backer,ILB,Yes,Minnesota Vikings
Georgia,defense,defensive_back,CB,Yes,Minnesota Vikings
Oklahoma,offense,offensive_lineman,OT,Yes,Minnesota Vikings
Oregon,defense,defensive_back,SS,Yes,New England Patriots
South Florida,defense,line_backer,OLB,Yes,New England Patriots
North Carolina,offense,backs_receivers,WR,Yes,New England Patriots
Georgia Tech,defense,defensive_lineman,DT,Yes,New England Patriots
Connecticut,defense,defensive_back,CB,Yes,New England Patriots
Kentucky,defense,defensive_lineman,DT,Yes,New England Patriots
Boston Col.,defense,defensive_lineman,DT,Yes,New England Patriots
Hawaii,special_teams,other_special,LS,Yes,New England Patriots
Ohio St.,defense,defensive_back,CB,Yes,New Orleans Saints
SMU,special_teams,kicking_specialist,P,Yes,New Orleans Saints
Wake Forest,defense,line_backer,ILB,Yes,New Orleans Saints
Wake Forest,defense,defensive_back,SS,Yes,New Orleans Saints
North Carolina,offense,backs_receivers,WR,Yes,New York Giants
Wisconsin,offense,backs_receivers,TE,Yes,New York Giants
Cal Poly,offense,backs_receivers,WR,Yes,New York Giants
New Mexico,defense,defensive_back,CB,Yes,New York Giants
Connecticut,offense,offensive_lineman,OT,Yes,New York Giants
SMU,offense,backs_receivers,QB,Yes,New York Giants
Virginia,defense,line_backer,OLB,Yes,New York Giants
North Carolina St.,offense,backs_receivers,RB,Yes,New York Giants
USC,offense,backs_receivers,QB,Yes,New York Jets
Nebraska,offense,offensive_lineman,OG,Yes,New York Jets
Iowa,offense,backs_receivers,RB,Yes,New York Jets
Maryland,offense,backs_receivers,WR,Yes,Oakland Raiders
Missouri,defense,defensive_lineman,DE,Yes,Oakland Raiders
Florida,offense,backs_receivers,WR,Yes,Oakland Raiders
Wisconsin,defense,defensive_lineman,DE,Yes,Oakland Raiders
Missouri,offense,backs_receivers,WR,Yes,Philadelphia Eagles
Oregon,offense,offensive_lineman,OT,Yes,Philadelphia Eagles
Virginia Tech,defense,defensive_back,CB,Yes,Philadelphia Eagles
Maryland,defense,line_backer,OLB,Yes,Philadelphia Eagles
Florida,offense,backs_receivers,TE,Yes,Philadelphia Eagles
Arizona St.,offense,offensive_lineman,OG,Yes,Philadelphia Eagles
Pittsburgh,offense,backs_receivers,RB,Yes,Philadelphia Eagles
Washington St.,offense,backs_receivers,WR,Yes,Philadelphia Eagles
Missouri,defense,defensive_lineman,DT,Yes,Pittsburgh Steelers
Central Florida,defense,defensive_back,CB,Yes,Pittsburgh Steelers
Oregon St.,defense,defensive_back,CB,Yes,Pittsburgh Steelers
Mississippi,offense,backs_receivers,WR,Yes,Pittsburgh Steelers
Arkansas St.,offense,backs_receivers,FB,Yes,Pittsburgh Steelers
Wisconsin,offense,offensive_lineman,OG,Yes,Pittsburgh Steelers
Penn St.,offense,offensive_lineman,C,Yes,Pittsburgh Steelers
Texas Tech,offense,backs_receivers,WR,Yes,San Francisco 49ers
Fresno St.,offense,backs_receivers,TE,Yes,San Francisco 49ers
Ball St.,offense,backs_receivers,QB,Yes,San Francisco 49ers
Pittsburgh,defense,line_backer,ILB,Yes,San Francisco 49ers
LSU,defense,defensive_lineman,DT,Yes,San Francisco 49ers
Alabama,offense,backs_receivers,RB,Yes,San Francisco 49ers
LSU,defense,defensive_back,FS,Yes,San Francisco 49ers
Wake Forest,defense,line_backer,OLB,Yes,Seattle Seahawks
California,offense,backs_receivers,TE,Yes,Seattle Seahawks
Rutgers,defense,defensive_back,SS,Yes,Seattle Seahawks
Penn St.,offense,backs_receivers,WR,Yes,Seattle Seahawks
Oregon,offense,offensive_lineman,C,Yes,Seattle Seahawks
Kansas St.,offense,backs_receivers,QB,Yes,Tampa Bay Buccaneers
Oregon St.,offense,backs_receivers,WR,Yes,Tampa Bay Buccaneers
Illinois,offense,offensive_lineman,OT,Yes,Tampa Bay Buccaneers
USC,defense,defensive_lineman,DE,Yes,Tampa Bay Buccaneers
Texas,defense,defensive_lineman,DT,Yes,Tampa Bay Buccaneers
Rutgers,offense,backs_receivers,WR,Yes,Tennessee Titans
Southern Miss,defense,line_backer,ILB,Yes,Tennessee Titans
Hawaii,defense,defensive_back,CB,Yes,Tennessee Titans
Stephen F. Austin,offense,backs_receivers,WR,Yes,Tennessee Titans
South Carolina,offense,backs_receivers,TE,Yes,Tennessee Titans
Michigan St.,offense,backs_receivers,RB,Yes,Tennessee Titans
Auburn,defense,defensive_lineman,DT,Yes,Tennessee Titans
Tulane,offense,offensive_lineman,OT,Yes,Tennessee Titans
Texas,defense,defensive_lineman,DE,Yes,Washington Redskins
Nevada,offense,backs_receivers,WR,Yes,Washington Redskins
Idaho,offense,backs_receivers,FB,Yes,Washington Redskins
Nebraska,defense,line_backer,OLB,Yes,Washington Redskins
Maryland,defense,defensive_back,CB,Yes,Washington Redskins
Citadel,offense,backs_receivers,WR,Yes,Arizona Cardinals
TCU,defense,line_backer,OLB,Yes,Arizona Cardinals
Stanford,offense,backs_receivers,TE,Yes,Arizona Cardinals
Tennessee,defense,defensive_lineman,DT,Yes,Arizona Cardinals
Fordham,offense,backs_receivers,QB,Yes,Arizona Cardinals
Wisconsin,defense,line_backer,OLB,Yes,Arizona Cardinals
Alabama,offense,offensive_lineman,OG,Yes,Atlanta Falcons
Kentucky,defense,defensive_lineman,DT,Yes,Atlanta Falcons
Kansas,offense,backs_receivers,WR,Yes,Atlanta Falcons
Missouri,defense,line_backer,OLB,Yes,Atlanta Falcons
Oklahoma,defense,defensive_back,CB,Yes,Atlanta Falcons
UNLV,offense,offensive_lineman,C,Yes,Atlanta Falcons
Oregon,offense,backs_receivers,TE,Yes,Baltimore Ravens
Alabama,defense,defensive_lineman,DT,Yes,Baltimore Ravens
Syracuse,defense,defensive_lineman,DT,Yes,Baltimore Ravens
Texas,defense,line_backer,OLB,Yes,Baltimore Ravens
Utah,offense,backs_receivers,WR,Yes,Baltimore Ravens
BYU,offense,backs_receivers,TE,Yes,Baltimore Ravens
Central Florida,defense,defensive_lineman,DT,Yes,Buffalo Bills
James Madison,defense,line_backer,OLB,Yes,Buffalo Bills
Clemson,offense,backs_receivers,RB,Yes,Buffalo Bills
Virginia Tech,offense,offensive_lineman,OT,Yes,Buffalo Bills
Connecticut,offense,backs_receivers,WR,Yes,Buffalo Bills
Iowa,offense,offensive_lineman,OT,Yes,Buffalo Bills
Arkansas St.,defense,defensive_lineman,DE,Yes,Buffalo Bills
Troy,offense,backs_receivers,QB,Yes,Buffalo Bills
LSU,offense,backs_receivers,WR,Yes,Carolina Panthers
Baylor,offense,backs_receivers,WR,Yes,Carolina Panthers
Notre Dame,offense,backs_receivers,QB,Yes,Carolina Panthers
Mississippi,defense,defensive_lineman,DE,Yes,Carolina Panthers
South Carolina,defense,line_backer,OLB,Yes,Carolina Panthers
Appalachian St.,offense,backs_receivers,WR,Yes,Carolina Panthers
Cincinnati,offense,backs_receivers,QB,Yes,Carolina Panthers
Central Michigan,offense,backs_receivers,QB,Yes,Chicago Bears
Kansas St.,defense,defensive_back,CB,Yes,Chicago Bears
Northwestern,defense,defensive_lineman,DE,Yes,Chicago Bears
Florida,defense,defensive_back,FS,Yes,Chicago Bears
Oklahoma,offense,backs_receivers,TE,Yes,Cincinnati Bengals
Georgia,defense,defensive_lineman,DT,Yes,Cincinnati Bengals
Wake Forest,defense,defensive_back,CB,Yes,Cincinnati Bengals
Texas,offense,backs_receivers,WR,Yes,Cincinnati Bengals
Kansas,offense,backs_receivers,WR,Yes,Cincinnati Bengals
Florida,defense,defensive_lineman,DE,Yes,Cincinnati Bengals
Texas,defense,line_backer,OLB,Yes,Cincinnati Bengals
Florida,defense,defensive_back,CB,Yes,Cleveland Browns
Arizona St.,offense,offensive_lineman,OG,Yes,Cleveland Browns
Texas,offense,backs_receivers,QB,Yes,Cleveland Browns
South Carolina,defense,defensive_lineman,DE,Yes,Cleveland Browns
Tennessee,offense,backs_receivers,RB,Yes,Cleveland Browns
South Florida,offense,backs_receivers,WR,Yes,Cleveland Browns
Oregon,defense,defensive_back,SS,Yes,Cleveland Browns
Nebraska,defense,defensive_back,SS,Yes,Cleveland Browns
Penn St.,defense,line_backer,ILB,Yes,Dallas Cowboys
Oklahoma St.,offense,backs_receivers,WR,Yes,Dallas Cowboys
Texas Tech,defense,defensive_back,CB,Yes,Dallas Cowboys
Notre Dame,offense,offensive_lineman,OT,Yes,Dallas Cowboys
Indiana (PA),defense,defensive_back,CB,Yes,Dallas Cowboys
Baylor,offense,offensive_lineman,C,Yes,Denver Broncos
California,defense,defensive_back,CB,Yes,Denver Broncos
Utah,offense,offensive_lineman,OG,Yes,Denver Broncos
Notre Dame,offense,offensive_lineman,C,Yes,Denver Broncos
Florida,offense,backs_receivers,QB,Yes,Denver Broncos
Oklahoma St.,defense,defensive_back,CB,Yes,Denver Broncos
Georgia Tech,offense,backs_receivers,WR,Yes,Denver Broncos
Minnesota,offense,backs_receivers,WR,Yes,Denver Broncos
Indiana,defense,defensive_lineman,DE,Yes,Denver Broncos
Nebraska,defense,defensive_lineman,DT,Yes,Detroit Lions
North Carolina St.,defense,defensive_lineman,DE,Yes,Detroit Lions
Miami (FL),offense,offensive_lineman,OT,Yes,Detroit Lions
Iowa,defense,defensive_back,CB,Yes,Detroit Lions
California,offense,backs_receivers,RB,Yes,Detroit Lions
East Carolina,defense,defensive_lineman,DE,Yes,Green Bay Packers
Buffalo,offense,backs_receivers,RB,Yes,Green Bay Packers
Penn St.,offense,backs_receivers,TE,Yes,Green Bay Packers
TCU,offense,offensive_lineman,OG,Yes,Green Bay Packers
Purdue,defense,defensive_lineman,DT,Yes,Green Bay Packers
Georgia Tech,defense,defensive_back,FS,Yes,Green Bay Packers
Iowa,offense,offensive_lineman,OT,Yes,Green Bay Packers
Auburn,offense,backs_receivers,RB,Yes,Houston Texans
Northwestern,defense,defensive_back,CB,Yes,Houston Texans
Alabama,defense,defensive_back,CB,Yes,Houston Texans
Wisconsin,offense,backs_receivers,TE,Yes,Houston Texans
Pittsburgh,offense,backs_receivers,TE,Yes,Houston Texans
Miami (FL),defense,line_backer,ILB,Yes,Houston Texans
LSU,offense,backs_receivers,WR,Yes,Houston Texans
Arizona,defense,defensive_lineman,DT,Yes,Houston Texans
Colorado St.,offense,offensive_lineman,OG,Yes,Houston Texans
Iowa,defense,line_backer,ILB,Yes,Indianapolis Colts
TCU,defense,line_backer,OLB,Yes,Indianapolis Colts
Clemson,defense,line_backer,OLB,Yes,Indianapolis Colts
Oklahoma,offense,backs_receivers,TE,Yes,Indianapolis Colts
USC,defense,defensive_back,CB,Yes,Indianapolis Colts
Louisiana Tech,defense,defensive_lineman,DT,Yes,Jacksonville Jaguars
California,defense,defensive_lineman,DE,Yes,Jacksonville Jaguars
Illinois,offense,offensive_lineman,OG,Yes,Kansas City Chiefs
Alabama,defense,defensive_back,CB,Yes,Kansas City Chiefs
Troy,defense,line_backer,OLB,Yes,Kansas City Chiefs
Mississippi,offense,backs_receivers,WR,Yes,Kansas City Chiefs
Mississippi,defense,defensive_back,FS,Yes,Kansas City Chiefs
Tennessee,defense,defensive_back,FS,Yes,Kansas City Chiefs
Iowa,offense,backs_receivers,TE,Yes,Kansas City Chiefs
Washington,defense,line_backer,ILB,Yes,San Diego Chargers
Fresno St.,offense,backs_receivers,RB,Yes,San Diego Chargers
Miami (FL),offense,backs_receivers,TE,Yes,San Diego Chargers
North Carolina,defense,defensive_lineman,DT,Yes,San Diego Chargers
Kansas,defense,defensive_back,SS,Yes,San Diego Chargers
South Florida,defense,defensive_lineman,DE,Yes,St. Louis Rams
Indiana,offense,offensive_lineman,OT,Yes,St. Louis Rams
South Florida,defense,defensive_back,CB,Yes,St. Louis Rams
Penn St.,defense,line_backer,ILB,Yes,St. Louis Rams
Illinois,offense,backs_receivers,TE,Yes,St. Louis Rams
Cincinnati,offense,backs_receivers,WR,Yes,St. Louis Rams
Louisiana-Lafayette,defense,defensive_lineman,DE,Yes,St. Louis Rams
Oklahoma,offense,backs_receivers,QB,Yes,St. Louis Rams
Utah,defense,line_backer,OLB,Yes,Miami Dolphins
Georgia,defense,defensive_back,SS,Yes,Miami Dolphins
Penn St.,defense,defensive_lineman,DT,Yes,Miami Dolphins
Maryland,defense,defensive_back,CB,Yes,Miami Dolphins
Iowa,defense,line_backer,OLB,Yes,Miami Dolphins
Mississippi,offense,offensive_lineman,OT,Yes,Miami Dolphins
Wake Forest,offense,offensive_lineman,OG,Yes,Minnesota Vikings
USC,defense,defensive_lineman,DE,Yes,Minnesota Vikings
Stanford,offense,backs_receivers,RB,Yes,Minnesota Vikings
Virginia,defense,defensive_back,CB,Yes,Minnesota Vikings
Minnesota,defense,line_backer,OLB,Yes,Minnesota Vikings
Rutgers,defense,defensive_back,CB,Yes,New England Patriots
Ohio,offense,backs_receivers,WR,Yes,New England Patriots
Vanderbilt,offense,offensive_lineman,OT,Yes,New England Patriots
Florida,defense,line_backer,ILB,Yes,New England Patriots
North Carolina St.,offense,offensive_lineman,C,Yes,New England Patriots
Florida,defense,defensive_lineman,DE,Yes,New England Patriots
Michigan,special_teams,kicking_specialist,P,Yes,New England Patriots
Oklahoma St.,offense,backs_receivers,QB,Yes,New England Patriots
Arizona,offense,backs_receivers,TE,Yes,New England Patriots
Florida,offense,backs_receivers,TE,Yes,New England Patriots
Alabama,defense,defensive_lineman,DT,Yes,New England Patriots
Florida St.,defense,defensive_back,CB,Yes,New Orleans Saints
Boston Col.,offense,offensive_lineman,C,Yes,New Orleans Saints
LSU,defense,defensive_lineman,DT,Yes,New Orleans Saints
Miami (FL),offense,backs_receivers,TE,Yes,New Orleans Saints
USC,offense,offensive_lineman,OT,Yes,New Orleans Saints
Oregon St.,offense,backs_receivers,QB,Yes,New Orleans Saints
South Florida,defense,defensive_lineman,DE,Yes,New York Giants
Arkansas,offense,offensive_lineman,OG,Yes,New York Giants
Nebraska,defense,line_backer,ILB,Yes,New York Giants
LSU,defense,defensive_back,SS,Yes,New York Giants
East Carolina,special_teams,kicking_specialist,P,Yes,New York Giants
East Carolina,defense,defensive_lineman,DT,Yes,New York Giants
William & Mary,defense,line_backer,OLB,Yes,New York Giants
Massachusetts,offense,offensive_lineman,OT,Yes,New York Jets
Boise St.,defense,defensive_back,CB,Yes,New York Jets
Kentucky,offense,backs_receivers,FB,Yes,New York Jets
USC,offense,backs_receivers,RB,Yes,New York Jets
Alabama,defense,line_backer,ILB,Yes,Oakland Raiders
Clemson,offense,backs_receivers,WR,Yes,Oakland Raiders
Maryland,offense,offensive_lineman,OT,Yes,Oakland Raiders
Hillsdale,offense,offensive_lineman,OT,Yes,Oakland Raiders
Texas,defense,defensive_lineman,DT,Yes,Oakland Raiders
Arizona St.,defense,line_backer,ILB,Yes,Oakland Raiders
Michigan,defense,line_backer,OLB,Yes,Philadelphia Eagles
Oklahoma,defense,line_backer,OLB,Yes,Philadelphia Eagles
Florida,offense,backs_receivers,WR,Yes,Philadelphia Eagles
Ohio St.,defense,defensive_back,SS,Yes,Philadelphia Eagles
Kentucky,defense,defensive_back,CB,Yes,Philadelphia Eagles
Clemson,defense,line_backer,OLB,Yes,Philadelphia Eagles
Georgia,defense,defensive_lineman,DT,Yes,Philadelphia Eagles
Washington,defense,defensive_lineman,DE,Yes,Philadelphia Eagles
Missouri State,offense,backs_receivers,FB,Yes,Philadelphia Eagles
Mississippi St.,defense,line_backer,ILB,Yes,Philadelphia Eagles
South Florida,defense,defensive_back,FS,Yes,Philadelphia Eagles
Northwestern,offense,backs_receivers,QB,Yes,Philadelphia Eagles
LSU,offense,backs_receivers,RB,Yes,Philadelphia Eagles
Virginia Tech,defense,line_backer,OLB,Yes,Pittsburgh Steelers
Clemson,defense,defensive_back,CB,Yes,Pittsburgh Steelers
Ohio St.,defense,defensive_lineman,DT,Yes,Pittsburgh Steelers
Florida,offense,offensive_lineman,C,Yes,Pittsburgh Steelers
Tennessee,offense,offensive_lineman,OG,Yes,Pittsburgh Steelers
Central Michigan,offense,backs_receivers,WR,Yes,Pittsburgh Steelers
Ohio St.,defense,line_backer,OLB,Yes,Pittsburgh Steelers
Georgia Tech,offense,backs_receivers,RB,Yes,Pittsburgh Steelers
SMU,offense,backs_receivers,WR,Yes,Pittsburgh Steelers
Utah,defense,line_backer,OLB,Yes,Pittsburgh Steelers
Idaho,offense,offensive_lineman,OG,Yes,San Francisco 49ers
Pittsburgh,offense,backs_receivers,TE,Yes,San Francisco 49ers
Rutgers,offense,offensive_lineman,OT,Yes,San Francisco 49ers
Mississippi St.,offense,backs_receivers,RB,Yes,San Francisco 49ers
Penn St.,defense,line_backer,OLB,Yes,San Francisco 49ers
USC,defense,defensive_back,FS,Yes,San Francisco 49ers
Arizona St.,offense,backs_receivers,WR,Yes,San Francisco 49ers
Oregon,defense,defensive_back,CB,Yes,Seattle Seahawks
Arizona St.,defense,line_backer,OLB,Yes,Seattle Seahawks
Notre Dame,offense,backs_receivers,WR,Yes,Seattle Seahawks
USC,offense,backs_receivers,TE,Yes,Seattle Seahawks
Texas,defense,defensive_back,CB,Yes,Seattle Seahawks
Virginia Tech,defense,defensive_back,FS,Yes,Seattle Seahawks
Oklahoma St.,offense,offensive_lineman,OT,Yes,Seattle Seahawks
North Carolina,defense,defensive_lineman,DE,Yes,Seattle Seahawks
Vanderbilt,defense,defensive_back,FS,Yes,Tampa Bay Buccaneers
Florida St.,defense,line_backer,OLB,Yes,Tampa Bay Buccaneers
Illinois,offense,backs_receivers,WR,Yes,Tampa Bay Buccaneers
Virginia Tech,defense,defensive_back,SS,Yes,Tampa Bay Buccaneers
UCLA,defense,defensive_lineman,DT,Yes,Tampa Bay Buccaneers
Virginia Tech,special_teams,kicking_specialist,P,Yes,Tampa Bay Buccaneers
Oklahoma,defense,defensive_lineman,DT,Yes,Tampa Bay Buccaneers
Syracuse,offense,backs_receivers,WR,Yes,Tampa Bay Buccaneers
Stanford,defense,defensive_lineman,DE,Yes,Tampa Bay Buccaneers
Georgia Tech,defense,defensive_lineman,DE,Yes,Tennessee Titans
Florida St.,defense,defensive_back,SS,Yes,Tennessee Titans
UCLA,defense,defensive_back,CB,Yes,Tennessee Titans
Georgia,defense,line_backer,OLB,Yes,Tennessee Titans
USC,offense,backs_receivers,WR,Yes,Tennessee Titans
West Virginia,offense,offensive_lineman,OT,Yes,Washington Redskins
New Mexico,offense,offensive_lineman,C,Yes,Washington Redskins
LSU,defense,line_backer,OLB,Yes,Washington Redskins
Oklahoma,offense,offensive_lineman,OT,Yes,Washington Redskins
LSU,defense,defensive_back,CB,Yes,Arizona Cardinals
Connecticut,offense,backs_receivers,FB,Yes,Arizona Cardinals
Texas,defense,line_backer,OLB,Yes,Arizona Cardinals
Florida Atlantic,offense,backs_receivers,TE,Yes,Arizona Cardinals
San Diego St.,offense,backs_receivers,WR,Yes,Arizona Cardinals
Virginia Tech,offense,backs_receivers,RB,Yes,Arizona Cardinals
North Carolina,defense,line_backer,ILB,Yes,Arizona Cardinals
Alabama,offense,backs_receivers,WR,Yes,Atlanta Falcons
Fresno St.,offense,offensive_lineman,OG,Yes,Atlanta Falcons
Miami (FL),special_teams,kicking_specialist,P,Yes,Atlanta Falcons
